"","Loading","PC1.v","PC2.v"
"1","PIK3R3",0.051094612,-0.004718209
"2","TARDBP",0.050277301,-0.009017945
"3","TMBIM4",0.044717252,-0.001714562
"4","DPYSL5",0.043643183,-0.010299906
"5","INSM1",0.042317596,-0.00465011
"6","PIK3R2",0.042132492,-0.005646668
"7","TIMM10B",0.040839364,-0.003694462
"8","PSMA1",0.039599202,-0.002811683
"9","DLL3",0.039546213,0.003838257
"10","ASCL1",0.03941312,0.004543699
"11","FOXG1",0.039390833,0.005936276
"12","ZIC2",0.038464261,0.004370376
"13","SOX11",0.038355126,0.011519945
"14","ZIC5",0.038123905,0.001613393
"15","LHX2",0.036747725,0.005740701
"16","DLK1",0.036573313,-0.001523497
"17","PI4K2B",0.036501172,-0.0016421
"18","SEZ6",0.036196243,-0.001928726
"19","ACTL6B",0.035961848,-0.000124409
"20","PCSK1",0.035710619,0.004580315
"21","CACNA1A",0.035677772,0.003158214
"22","PAPD7",0.035629877,-0.008087279
"23","CPLX2",0.035387721,0.000164802
"24","XKR7",0.035160915,0.00199361
"25","ZNF286A",0.034854545,-0.002292936
"26","ST18",0.034612513,0.000652715
"27","INA",0.03452979,-0.003168334
"28","CELF3",0.034269399,-0.001429253
"29","TAGLN3",0.033941582,0.000845576
"30","PAGR1",0.03381798,-0.003439771
"31","NRSN1",0.033780822,-0.004737938
"32","ONECUT2",0.033770369,-0.005163737
"33","ELAVL3",0.033508638,-0.01225029
"34","POU4F1",0.033247607,0.011073025
"35","CDK5R2",0.032737246,0.002360303
"36","SCG3",0.032602467,0.001289066
"37","DCX",0.032499654,-0.005246034
"38","BARX1",0.032349687,0.012663255
"39","FAM57B",0.032288727,-0.001768996
"40","C17orf100",0.032278947,-0.003092251
"41","UNC13A",0.03224713,0.004327863
"42","CHRNB2",0.032156056,-0.001682323
"43","ST8SIA3",0.031306976,-0.002544573
"44","NEUROD1",0.031267111,0.005446352
"45","MAST1",0.030865372,-0.000859028
"46","ELAVL4",0.030829125,0.002460057
"47","KIF1A",0.030788576,-0.025183362
"48","ACSL6",0.030671685,-0.002223823
"49","SPATA13",0.030617304,-0.002130821
"50","KIF18B",0.030578355,0.014661046
"51","PRAME",0.03052098,0.009205615
"52","NKX2-2",0.030344335,-0.005381857
"53","BTBD17",0.030245239,0.003554115
"54","VGF",0.030054545,-0.002141204
"55","POU3F2",0.030007118,0.007682612
"56","SCN3A",0.029975531,0.00354695
"57","ASPM",0.029881437,0.013204712
"58","KCNK9",0.029661855,0.0068838
"59","DLX6",0.029543301,-0.006606085
"60","ZDHHC22",0.029458845,0.000164584
"61","AMH",0.029356743,0.000638696
