Sample,Relative_Sensitivity_Score,type
TCGA.OR.A5JX.01,0.440176589,ACC
TCGA.OR.A5JC.01,0.467113809,ACC
TCGA.PA.A5YG.01,0.531187182,ACC
TCGA.OR.A5J9.01,0.398682122,ACC
TCGA.OR.A5JW.01,1.191562379,ACC
TCGA.OR.A5K0.01,0.757688737,ACC
TCGA.OR.A5LB.01,0.919843973,ACC
TCGA.OR.A5JM.01,0.73192548,ACC
TCGA.OR.A5LM.01,0.509577689,ACC
TCGA.OR.A5JQ.01,0.571953603,ACC
TCGA.OR.A5LE.01,-0.477146309,ACC
TCGA.OR.A5K9.01,1.215595755,ACC
TCGA.OR.A5LO.01,0.347443929,ACC
TCGA.PK.A5HA.01,0.65214484,ACC
TCGA.OR.A5J2.01,0.247249537,ACC
TCGA.OR.A5JR.01,0.953018149,ACC
TCGA.OR.A5K3.01,0.379714429,ACC
TCGA.OR.A5J6.01,1.995502031,ACC
TCGA.OR.A5JI.01,0.72072449,ACC
TCGA.OR.A5JJ.01,-0.469219541,ACC
TCGA.OR.A5J7.01,1.183658059,ACC
TCGA.OR.A5KY.01,0.337272853,ACC
TCGA.OR.A5KW.01,0.389862942,ACC
TCGA.OR.A5K5.01,1.031800294,ACC
TCGA.P6.A5OG.01,2.931006396,ACC
TCGA.OR.A5JL.01,1.306257519,ACC
TCGA.OR.A5LL.01,1.492207954,ACC
TCGA.OR.A5LS.01,-0.150505435,ACC
TCGA.OR.A5K8.01,1.115795645,ACC
TCGA.OR.A5J1.01,0.684088686,ACC
TCGA.OR.A5KT.01,1.333357906,ACC
TCGA.OR.A5K6.01,0.835732749,ACC
TCGA.OR.A5J8.01,1.326751816,ACC
TCGA.OR.A5KU.01,0.523296831,ACC
TCGA.OR.A5L9.01,1.374162943,ACC
TCGA.OR.A5L5.01,1.19030661,ACC
TCGA.OR.A5JA.01,0.605688587,ACC
TCGA.OR.A5JE.01,1.091008424,ACC
TCGA.OR.A5JG.01,1.270998464,ACC
TCGA.OR.A5LC.01,1.580755552,ACC
TCGA.OR.A5JP.01,0.963155205,ACC
TCGA.OR.A5K1.01,1.37058565,ACC
TCGA.OR.A5L3.01,0.551111789,ACC
TCGA.PK.A5HB.01,1.343531302,ACC
TCGA.OU.A5PI.01,0.331939793,ACC
TCGA.OR.A5LT.01,0.077709,ACC
TCGA.OR.A5KV.01,0.202714341,ACC
TCGA.OR.A5LG.01,2.246235185,ACC
TCGA.OR.A5J5.01,0.385241189,ACC
TCGA.OR.A5K4.01,0.389323285,ACC
TCGA.OR.A5LK.01,0.750074604,ACC
TCGA.OR.A5JZ.01,1.673115132,ACC
TCGA.P6.A5OF.01,0.424041022,ACC
TCGA.OR.A5JF.01,0.735908878,ACC
TCGA.OR.A5JB.01,4.663004903,ACC
TCGA.OR.A5LP.01,0.976347376,ACC
TCGA.OR.A5JS.01,1.024592627,ACC
TCGA.OR.A5KX.01,0.745350955,ACC
TCGA.OR.A5LA.01,0.98561452,ACC
TCGA.OR.A5LH.01,0.595933433,ACC
TCGA.OR.A5JT.01,0.952284825,ACC
TCGA.OR.A5JO.01,2.084634575,ACC
TCGA.OR.A5JY.01,-0.058959378,ACC
TCGA.OR.A5L8.01,-0.333154812,ACC
